2018-11-13 11:31:39,655 INFO  [org.jboss.modules] (main) JBoss Modules version 1.8.5.Final
2018-11-13 11:31:43,481 INFO  [org.jboss.as.host.controller] (management task-1) WFLYHC0021: Server [Server:load-balancer] connected using connection [Channel ID 628a8266 (inbound) of Remoting connection 542cd80d to localhost/127.0.0.1:51138 of endpoint "master:MANAGEMENT" <206db7da>]
2018-11-13 11:31:43,505 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server server-one
2018-11-13 11:31:43,513 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server load-balancer
2018-11-13 11:31:45,382 INFO  [org.jboss.as.host.controller] (management task-1) WFLYHC0021: Server [Server:server-one] connected using connection [Channel ID 7ecabedb (inbound) of Remoting connection 5d88152f to localhost/127.0.0.1:51141 of endpoint "master:MANAGEMENT" <206db7da>]
2018-11-13 11:31:45,410 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server server-one
2018-11-13 11:31:45,413 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0062: Http management interface listening on http://127.0.0.1:9990/management and https://127.0.0.1:-1/management
2018-11-13 11:31:45,414 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0053: Admin console listening on http://127.0.0.1:9990 and https://127.0.0.1:-1
2018-11-13 11:31:45,415 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: Keycloak 4.5.0.Final (WildFly Core 5.0.0.Final) (Host Controller) started in 6133ms - Started 80 of 82 services (23 services are lazy, passive or on-demand)
2018-11-13 11:37:46,861 INFO  [org.jboss.as.host.controller] (Thread-2) WFLYHC0181: Host Controller shutdown has been requested via an OS signal
2018-11-13 11:37:46,883 INFO  [org.jboss.as.host.controller] (Host Controller Service Threads - 27) WFLYHC0024: Stopping server server-one
2018-11-13 11:37:46,885 INFO  [org.jboss.as.host.controller] (Host Controller Service Threads - 27) WFLYHC0024: Stopping server load-balancer
2018-11-13 11:37:46,897 INFO  [org.jboss.as.host.controller] (management task-3) WFLYHC0027: Unregistering server load-balancer
2018-11-13 11:37:46,947 INFO  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 2) WFLYHC0027: Unregistering server load-balancer
2018-11-13 11:37:46,967 INFO  [org.jboss.as.host.controller] (management task-3) WFLYHC0027: Unregistering server server-one
2018-11-13 11:37:47,055 INFO  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 2) WFLYHC0027: Unregistering server server-one
2018-11-13 11:37:47,062 INFO  [org.jboss.as] (MSC service thread 1-7) WFLYSRV0050: Keycloak 4.5.0.Final (WildFly Core 5.0.0.Final) stopped in 196ms
